participant_name,stimulus_name,trial_direction,trial_number,max_displacement,displacement_std,tackle_success,distance_with_attacker,distance_with_attacker_std,maximum_speed,lateral_movement_percenage,time_of_wrong_movement,time_of_wrong_movement_std,time_of_right_movement,time_of_right_movement_std,corrective_movement_time,time_moving_for_tackle,time_moving_for_tackle_std
JonnyO-Alexandre-FD1,Alex,R,5,3.105,1.788565533,0,59.12083536,14.12048653,170.9901752,0,NaN,NaN,NaN,NaN,NaN,0.6998135,0.218817408
JonnyO-Alexandre-FD2,Alex,R,5,7.102,3.866758332,0,62.22053191,15.73663752,167.0193156,0,NaN,NaN,NaN,NaN,NaN,1.9879732,0.089954331
JonnyO-Alexandre-FG1,Alex,L,5,10.6128,7.365990714,0,156.5260764,20.40768451,165.8756761,0.4,0.888386,0.165935334,1.1356255,0.112598977,0.2472395,0.8615668,0.488886079
JonnyO-Alexandre-FG4,Alex,L,5,7.298,8.833177231,0,72.94222938,26.95107722,180.1697151,0.2,0.611813,0,1.08953,0,0.477717,0.7358518,0.423651053
JonnyO-Alexandre-FG5,Alex,L,5,3.24,3.200820207,0,69.4073253,3.275883798,193.6975889,0,NaN,NaN,NaN,NaN,NaN,0.2983636,0.176260221
JonnyO-Jean-Emmanuel-FD3,Jean,R,5,25.76,23.30042918,0,91.24228425,25.52473496,141.2088201,0.75,0.592257333,0.097137682,0.483304333,0.469959173,0.108953,0.60133675,0.450519354
JonnyO-Jean-Emmanuel-FG1,Jean,L,5,10.25666667,4.020364826,0,70.97060696,7.18559277,181.6304374,0.333333333,0.712385,0,0.997339,0,0.284954,1.039244,0.065457703
JonnyO-Louis-FD1,Louis,R,5,3.938,3.753194639,0,53.41934469,7.961269136,145.0529852,0,NaN,NaN,NaN,NaN,NaN,0.3134494,0.252029923
