participant_name,stimulus_name,trial_direction,trials_numbers,trial_mean_duration,max_displacement,displacement_std,movement_efficiency,movement_efficiency_std,movement_efficiency_percentage,movement_efficiency_percentage_std,individual_dist_cov_1,individual_dist_cov_2,individual_dist_cov_3,individual_dist_cov_4,individual_dist_cov_5,tackle_success,tackle_success_ind_1,tackle_success_ind_2,tackle_success_ind_3,tackle_success_ind_4,tackle_success_ind_5,distance_with_attacker,distance_with_attacker_std,maximum_speed,lateral_movement_percenage,time_of_wrong_movement,time_of_wrong_movement_std,time_in_wrong_area_percentage,time_of_right_movement,time_of_right_movement_std,corrective_movement_time,time_moving_for_tackle,time_moving_for_tackle_std,decision_time_ind_1,decision_time_ind_2,decision_time_ind_3,decision_time_ind_4,decision_time_ind_5
PM-Alexandre-FD1,Alexandre,R,5,1.475056,3.876,1.62303111492048,103.282809618922,3.51499292378657,0.776809885804397,0.0674199163417001,109.363831076787,103.113036377861,100.752544121747,101.976564619709,101.208071898506,1,1,1,1,1,1,22.3113989142116,5.846061675491,223.178019881674,0,NaN,NaN,NaN,NaN,NaN,NaN,0.621870199999999,0.283433970856881,0.829718999999998,0.184382,0.896766999999998,0.528002999999999,0.670479999999999
PM-Alexandre-FD2,Alexandre,R,5,2.03658299999999,12.02734,0.895696683035055,179.987746404755,21.4349854953795,0.869803411455187,0.117851047831374,204.462907758893,202.290933295418,163.587115632268,162.455258558833,167.142516778364,1,1,1,1,1,1,17.115020381679,11.3473937059746,231.842022717675,0,NaN,NaN,NaN,NaN,NaN,NaN,2.02820199999999,0,2.02820199999999,2.02820199999999,2.02820199999999,2.02820199999999,2.02820199999999
PM-Alexandre-FG1,Alexandre,L,5,1.416389,6.116,0.942724774258108,76.8343272381943,9.81490994273305,0,0,69.4117441943321,69.3569833858114,93.0697820784913,73.9481621200674,78.3849644122694,0,0,0,0,0,0,121.741830514036,8.52340183639485,227.091624950556,0,NaN,NaN,NaN,NaN,NaN,NaN,0.678860999999998,0.371657427083732,0.829718999999998,0.896766999999998,0.670479999999999,0.041905,0.955433999999998
PM-Alexandre-FG4,Alexandre,L,4,1.550485,13.78245,1.20884032995815,128.218366145017,12.3520213787638,0.553787203336641,0.383278662156348,117.942545054912,141.133375943522,117.363451640614,136.434091941019,0,0.75,0,1,1,1,0,30.5083336247953,12.6075006477989,222.250027995891,0,NaN,NaN,NaN,NaN,NaN,NaN,0.676765749999999,0.240421758734346,0.854861999999998,0.561526999999999,0.896766999999998,0.393907,0
PM-Alexandre-FG5,Alexandre,L,4,1.273912,6.587275,2.1164129013892,106.345749110709,8.6742668584489,0.35344383360777,0.408189672555469,110.715891373739,112.840299430354,108.173933684371,93.6528719543723,0,0.5,0,1,1,0,0,42.1523941135853,4.84297233015411,237.779046584702,0,NaN,NaN,NaN,NaN,NaN,NaN,0.27866825,0.322232829252777,0.578288999999999,0.536383999999999,0,0,0
PM-Jean-Emmanuel-FD3,Jean-Emmanuel,R,5,1.533723,6.626,1.19613126369977,129.454403129754,6.90000988614848,0.148081302500742,0.331119858588368,132.253470026267,137.352106273531,132.460938424982,119.661448689246,125.544052234746,0.2,0,1,0,0,0,41.4953063447961,9.71055298061907,222.57058406198,0,NaN,NaN,NaN,NaN,NaN,NaN,0.583317599999999,0.598687394514698,0.16762,1.525342,0,0.737527999999998,0.486097999999999
PM-Jean-Emmanuel-FG1,Jean-Emmanuel,L,4,1.567247,4.9125,2.91060560708592,124.914198590751,17.5126283674149,0.66518083294559,0.450702538749427,105.114619814332,115.781555755474,135.767052664014,142.993566129182,0,0.75,0,1,1,1,0,18.2932920426824,17.1521384960645,201.544289552883,0,NaN,NaN,NaN,NaN,NaN,NaN,0.616003499999999,0.252776665833036,0.293335,0.829718999999998,0.536383999999999,0.804575999999998,0
PM-Louis-FD1,Louis,R,4,1.181721,2.10775,0.971593321988852,89.3590824839382,8.2573985639951,0.720901150263105,0.0823591693391004,93.8208318979505,83.9966580728959,80.9922355675937,98.6266043973129,0,1,1,1,1,1,0,25.5600045351049,7.08438594520078,224.475490360692,0,NaN,NaN,NaN,NaN,NaN,NaN,0.125715,0.25143,0,0.502859999999999,0,0,0
