participant_name,stimulus_name,trial_direction,trials_numbers,trial_mean_duration,max_displacement,displacement_std,movement_efficiency,movement_efficiency_std,movement_efficiency_percentage,movement_efficiency_percentage_std,individual_dist_cov_1,individual_dist_cov_2,individual_dist_cov_3,individual_dist_cov_4,individual_dist_cov_5,tackle_success,tackle_success_ind_1,tackle_success_ind_2,tackle_success_ind_3,tackle_success_ind_4,tackle_success_ind_5,distance_with_attacker,distance_with_attacker_std,maximum_speed,lateral_movement_percenage,time_of_wrong_movement,time_of_wrong_movement_std,time_in_wrong_area_percentage,time_of_right_movement,time_of_right_movement_std,corrective_movement_time,time_moving_for_tackle,time_moving_for_tackle_std,decision_time_ind_1,decision_time_ind_2,decision_time_ind_3,decision_time_ind_4,decision_time_ind_5
PM-Alexandre-FD1,Alex,R,5,1.475056,3.876,1.623031115,103.2828096,3.514992924,0.776809886,0.067419916,109.3638311,103.1130364,100.7525441,101.9765646,101.2080719,1,1,1,1,1,1,22.31139891,5.846061675,223.1780199,0,NaN,NaN,NaN,NaN,NaN,NaN,0.6218702,0.283433971,0.829719,0.184382,0.896767,0.528003,0.67048
PM-Alexandre-FD2,Alex,R,5,2.036583,12.02734,0.895696683,179.9877464,21.4349855,0.869803411,0.117851048,204.4629078,202.2909333,163.5871156,162.4552586,167.1425168,1,1,1,1,1,1,17.11502038,11.34739371,231.8420227,0,NaN,NaN,NaN,NaN,NaN,NaN,2.028202,0,2.028202,2.028202,2.028202,2.028202,2.028202
PM-Alexandre-FG1,Alex,L,5,1.416389,6.116,0.942724774,76.83432724,9.814909943,0,0,69.41174419,69.35698339,93.06978208,73.94816212,78.38496441,0,0,0,0,0,0,121.7418305,8.523401836,227.091625,0,NaN,NaN,NaN,NaN,NaN,NaN,0.678861,0.371657427,0.829719,0.896767,0.67048,0.041905,0.955434
PM-Alexandre-FG4,Alex,L,4,1.550485,13.78245,1.20884033,128.2183661,12.35202138,0.553787203,0.383278662,117.9425451,141.1333759,117.3634516,136.4340919,0,0.75,0,1,1,1,0,30.50833362,12.60750065,222.250028,0,NaN,NaN,NaN,NaN,NaN,NaN,0.67676575,0.240421759,0.854862,0.561527,0.896767,0.393907,0
PM-Alexandre-FG5,Alex,L,4,1.273912,6.587275,2.116412901,106.3457491,8.674266858,0.353443834,0.408189673,110.7158914,112.8402994,108.1739337,93.65287195,0,0.5,0,1,1,0,0,42.15239411,4.84297233,237.7790466,0,NaN,NaN,NaN,NaN,NaN,NaN,0.27866825,0.322232829,0.578289,0.536384,0,0,0
PM-Jean-Emmanuel-FD3,Jean,R,5,1.533723,6.626,1.196131264,129.4544031,6.900009886,0.148081303,0.331119859,132.25347,137.3521063,132.4609384,119.6614487,125.5440522,0.2,0,1,0,0,0,41.49530634,9.710552981,222.5705841,0,NaN,NaN,NaN,NaN,NaN,NaN,0.5833176,0.598687395,0.16762,1.525342,0,0.737528,0.486098
PM-Jean-Emmanuel-FG1,Jean,L,4,1.567247,4.9125,2.910605607,124.9141986,17.51262837,0.665180833,0.450702539,105.1146198,115.7815558,135.7670527,142.9935661,0,0.75,0,1,1,1,0,18.29329204,17.1521385,201.5442896,0,NaN,NaN,NaN,NaN,NaN,NaN,0.6160035,0.252776666,0.293335,0.829719,0.536384,0.804576,0
PM-Louis-FD1,Louis,R,4,1.181721,2.10775,0.971593322,89.35908248,8.257398564,0.72090115,0.082359169,93.8208319,83.99665807,80.99223557,98.6266044,0,1,1,1,1,1,0,25.56000454,7.084385945,224.4754904,0,NaN,NaN,NaN,NaN,NaN,NaN,0.125715,0.25143,0,0.50286,0,0,0
