participant_name,trials_numbers,trial_mean_duration,max_displacement,displacement_std,tackle_success,distance_with_attacker,distance_with_attacker_std,maximum_speed,lateral_movement_percenage,time_of_wrong_movement,time_of_wrong_movement_std,time_in_wrong_area_percentage,time_of_right_movement,time_of_right_movement_std,corrective_movement_time,time_moving_for_tackle,time_moving_for_tackle_std
CH-Alexandre-FD1,5,1.475056,5.27,6.76847102379851,0.6,38.2147009175062,5.70816452390206,148.468686674665,0.2,0.779432999999998,0,0.125,0.963814999999998,0,0.184381999999999,0.675508599999998,0.395402043689457
CH-Alexandre-FD2,5,2.03658299999999,5.316,2.88262553933042,0.2,48.1820692446176,8.761705264022,150.618623249968,0,NaN,NaN,NaN,NaN,NaN,NaN,1.87063919999999,0.131504273079622
CH-Alexandre-FG1,5,1.416389,5.12994,3.31252108189518,0,92.3135341993811,14.3793864446511,141.538003395336,0,NaN,NaN,NaN,NaN,NaN,NaN,0.876652599999998,0.310074347821292
CH-Alexandre-FG4,4,1.550485,11.36045,5.42260018902371,0.75,19.661468497612,16.6230715780773,158.307023286309,0,NaN,NaN,NaN,NaN,NaN,NaN,0.370859249999999,0.452800282165234
CH-Alexandre-FG5,5,1.273912,6.61063,2.22415919158229,0.6,38.1574827031794,14.7155748170333,166.089664242816,0,NaN,NaN,NaN,NaN,NaN,NaN,0.419049999999999,0.321714703943571
CH-Jean-Emmanuel-FD3,5,1.533723,4.27,1.48087811787466,0,54.6410247045782,10.7578331480879,151.864802125023,0,NaN,NaN,NaN,NaN,NaN,NaN,0.859890599999998,0.0468886802895964
CH-Jean-Emmanuel-FG1,4,1.48553225,10.92025,4.95380924979287,0.5,40.10938493591,27.1858968355039,129.936553044338,0.25,0.628574999999999,0,0.293370944992948,1.064387,0,0.435811999999999,1.00362475,0.11355662232377
CH-Louis-FD1,5,1.1683114,3.932,3.44865481021224,0.4,42.6139562600444,12.3579545165766,153.794049062796,0,NaN,NaN,NaN,NaN,NaN,NaN,0.571584199999999,0.191794932195039
